quote,author,category
Despite all my rageI am still just a rat in the cage.,Billy Corgan,"anger, cages, life, rage, rats"
"The most important experiences a man can have are those that take him to the very limit; that is the only way we learn, because it requires all our courage.","Paulo Coelho, Eleven Minutes",courage
"I can feel myself gently slipping away into a light trance by the quarter moon light as the candles are blown out, and my last thought is that we have gone back to the jungle, back to the great green womb—we have returned full circle from whence we came…","Rak Razam, Aya: A Shamanic Odyssey","spirituality, transformation"
It is tempting to write the history of technology through products: the wheel, the microscope, the airplane
"He said he'd never remarry, because he'd never find another lady that fit so neatly at his side. He called her his equal in spirit.","Alexandra Bracken, Passenger",true-love
I just have to take my chances like any other composer.,Gordon Getty,"Just, Chances, Like "
"Those who suffer suffer because hurt people hurt people, and busy people let it happen. So am I going to be busy or am I going to be brave?","Marquita Burke-DeJesus, Radically Ordinary","bravery, busyness, suffering"
I was glad to hear that you were to be confirmed.,"Theodore Roosevelt, Letters to His Children","affirmative, confirmation, gladness, joy"
"God does not play games with His loyal servants"", said the Metatron, but in a worried tone of voice.""Whoopee"", said Crowley.","Terry Pratchett, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",god
"With one kiss, my life had been altered. It would follow a different path now. One where a woman owned my heart.","Abbi Glines, Kiro's Emily","kiss, love, romance"
"If you want to learn to do something right, watch someone who has done it successfully.","Abhishek  Kumar, The Richest Engineer","inspirational-quotes, motivational-quotes"
"It had seemed entirely sensible at the time. A simple way to test the truth of her claim that she had lain with de Villiers. To show her that lying to him was useless. To make a point.Instead, he had ignited a desire that burned him like none he had ever felt before.He had expected Lady Laurien d'Amboise to be a timid little convent mouse. Quiet and passive and pliant. Easily manageable. Instead she was outspoken and strong-willed...and stunning in a way he could not even describe.An innocent beauty caught up in a deadly game that was none of her making....Malcolm rose to leave, chuckling.""And what is there to laugh about?""Darach gave his jovial friend a dour look.Malcolm stopped just long enough to do his best imitation of Darach. ""'Simple. Kidnap one French lass, hold her for a fortnight, and return her to de Villiers after he meets our demands. Perfectly simple.","Shelly Thacker, His Stolen Bride","highlanders, highlanders-romance, historical-romance, kathleen-woodiwiss, scottish-romance"
We must each find our separate meaning in the persuasion of our days until we meet in the meaning of the world.,Christopher Fry,motivational
"It has been said, 'time heals all wounds.' I do not agree. The wounds remain. In time, the mind, protecting its sanity, covers them with scar tissue and the pain lessens. But it is never gone.",Rose Fitzgerald Kennedy,"healing, pain, remembrance, scars, time"
When a friend is in trouble  don't annoy him by asking if there is anything you can do. Think up something appropriate and do it.,Edgar Watson Howe,friendship
"There was a gaping hole in his chest without her. The three weeks he’d spent with her had been the best of his life. She was like this bright, shining star that had been ripped away from him. He was territorial as hell and he wasn’t letting her go.","Savannah Stuart, To Catch His Mate","paranormal-romance, shifter-romance"
I feel my fear moving away in rings through time for a million years.,"Breece D'J Pancake, The Stories of Breece D'J Pancake","authorship, confidence, writing-life"
"How do I shape my reality? I use wisdom and strategy to shift the possible to the probable... Then, effort and consistency will bridge the probable to the inevitable. Success is a behavior... I make sure my mindset and actions are working in alignment.",Steve Maraboli,"actions, behavior, effort, motivation, reality, success"
"I remember that during the period leading up to independence in Angola in 1975, I was the only correspondent there at all for three months.",Ryszard Kapuscinski,"Remember, Three, Up "
I couldn’t help but notice how hot he looked tonight with his strong build lining his t-shirt. He should never cover his beauty with clothes and such things. - Ariel,"Victoria H. Smith, The Crimson Hunt","college, humor, new-adult, romance, science-fiction, science-fiction-romance, upper-ya"
"I had a problem with commitment. I was afraid to proclaim that I had found Jesus, been saved, boarded the boat bound for eternal life. I figured it wasn't something I could announce one week and then a month or two later admit, ""Oh yeah, sorry, people. That was my Jesus phase. I'm into transcendental meditation now.","Michelle DeRusha, Spiritual Misfit: A Memoir of Uneasy Faith","commitment, faith, humor"
"The first thing to improve society is not banning abortion, but making sure that everyone who had a child is in the best position to be able to rear it.",Caitlin Moran,"Best, Child, Abortion "
"Confusion, when embraced, is the starting point for discovery, direction and decision.",Richie Norton,"clarity, confusion, confusion-and-attitude, decision, direction, discover, embrace, start, starting-point"
It's the plugging away that will win you the day So don't be a piker old pard! Just draw on your grit  it's so easy to quit- It's the keeping your chin up that's hard.,Robert W. Service,"pressure, , diamonds, "
Politics is not a picture on a wall or a television sitcom that you can decide you don't much care for.,Molly Ivins,politics
"My blood alone remains: take it, but do not make me suffer long.",Marie Antoinette,death-and-dying
Luke is the sort of boy Taylor Swift could at least three songs out of.,"Beth Garrod, Super Awkward","boy, boyfriend, breakup, fuckboy, funny, irony, love, lovesong, lovestory, sarcasm, taylor-swift"
Create a great future. Be happy NOW.,"Thomas Flindt, Happy Lemons: How Laughter Breeds Success","happiness, inspirational, self-empowerment, self-improvement, success"
"Fashion is almost like a religion, for me at least.",ASAP Rocky,"Fashion, Me, Like "
"Favorite Quotations.I speak my mind because it hurts to bite my tongue.The worth of a book is measured by what you carry away from it. It's not over till it's over. Imagination is everything. All life is an experiment. What the caterpillar calls the end of the world, the master calls the butterfly.","Pat Frayne, Tales of Topaz the Conjure Cat: Part I Topaz and the Evil Wizard & Part II Topaz and the Plum-Gista Stone","action, adventure, animals, bats, battles, castle, cave-scarey, conjure-cat, curses, dark-powers, evil, fairy-elf, flesh-eaters, forest, fox, friendship, gnome-fortress, gnomes, goose-bumps, healers, lands, loyalty, magic, magic-stone, missing-children, mission, mystery, mystical, ogre, owl, paranormal-powers, quest, raccoon, snakes, spiders, spirit, sprite, suspense, troll, witch, wizard, wolf"
"If your opponent is of choleric temper,  seek to irritate him.  Pretend to be weak, that he may grow arrogant.","Sun Tzu, The Art of War","business, strategy, war"
"I am beginning to understand the way in which memories hold us, mindfully, to the earth, by the quality of attention paid that they require to be made at all.","Liz Stephens, The Days Are Gods",memories
"Without love, life is so boring.",Debasish Mridha,"education, happiness, hope, inspirational, intelligence, knowledge, life, love, philosophy, quotes, truth, wisdom"
"My approach to parenting is that everything is open - everything. I'm not very good at covert, or subtle, and I've had to learn timing. I do blunder in a bit.",Dawn French,"Good, Timing, Learn "
I wrote Seventh Heaven for my mother who I miss eve,Alice Hoffman,"love, mother"
Every man must do two things alone, he must do his own believing and his own dying..,Martin Luther
"I'm going to need to save you.""""Excuse me? No one needs-""""I'm saving you, so shut up and be grateful.","Kelley Armstrong, The Rising","funny, humor"
"Being stress and anxiety free is a human preset, I just show you how to 'flick the switch' to off. Permanent stress and anxiety recovery is possible quickly and simply despite what many are told.","Charles Linden, The Linden Method: The Anxiety and Panic Attacks Elimination Solution","agoraphobia, anxiety, charles-linden, depersonalization, derealization, ocd, panic-attacks, ptsd, pure-o, the-linden-method"
"Walking to the train station I Wikipedia Abu Bakr al-Baghdadi, the man Hizb-ut-Tahrir refuse to accept as Islamic State's leader.I discover he is only one year older than me. I'm hit with that melancholy you get when you realise someone around your age has achieved so much more than you and you mightn't ever catch up.","John Safran, Depends What You Mean By Extremist","race, religion"
"Unless you are rich and can convalesce in a sanatorium estate (where visitors came down a tiered, oceanside lawn to find you at your easel) you have to keep going when you're depressed. That means phone calls, appointments, errands, holidays, family, friends, and colleagues.",Virginia Heffernan,"depression, unholy-ghosts"
the great advantage of really contemporary fiction is that one finds oneself mirrored on every page,"Peter Ackroyd, The Last Testament of Oscar Wilde",humour
"I will not say, as the beggars at our door used to do, ‘I’ll never ask anything of Him again;’ but, on the contrary, ‘He shall hear oftener from me than ever,’ and I will love God the better, and love prayer the better, as long as I live.",Philip  Henry,"perseverance, prayer"
"Shame lurks in the pockets of the mind (or spirit), like lint. No matter how brave a face you put on things – and believe me, I did – you always have to face yourself in the end.","Beverly Rycroft, A Slim Green Silence","facing-yourself, shame"
"Men in authority will always think that criticism of their policies is dangerous. They will always equate their policies with patriotism, and find criticism subversive.",Henry Steele Commager,"Men, Criticism, Think "
"Once I was gone for a month and I was just miserable, so I flew back from Florida for two hours just to be home and see my cats.",Paula Poundstone,"Cats, See, Back "
"Welcome to the ‘Age of Influence,’ where anyone can build an audience and effect change, advocate brands, build relationships and make a difference.",Ted Rubin,influence
Maybe that's what writers do-Maybe they exaggerate pain just so that you feel okay about what you're feeling.,Sanhita Baruah,"alone, broken, drama, emotions, exaggerate, exaggeration, fall, fallen, feel, feelings, grief, grieve, injured-heart, life, lonely, lost, love, pain, painful, poems, poetry, sad, sadness, sorrow-quotes, sorry, stories, story, write, writers"
Getting through high school and college was one of my greatest achievements.,Ann Bancroft,"School, College, Greatest "
